IDADE,CIDADE_ORIGEM,IDADE_INGRESSO,ESCOLA_FUNDAMENTAL,ESTADO_CIVIL,CURSO,SEXO,TIPO_ESCOLA_ANTERIOR,1ANOFALTA,Evadiu,ETNIA,TIPO_CONCOMITANCIA,Forma_Ingresso,1CONCEITO,Cidade,N_FILHOS
9,0,0,81,0,1,1,1,2.3076923076923075,0,3,0,1,1,12,3
11,0,2,78,0,10,0,1,0.7692307692307693,0,3,0,1,1,12,3
10,1,1,87,0,7,1,1,2.5384615384615383,0,3,0,1,2,2,3
10,0,1,224,0,2,1,1,0.4166666666666667,0,3,0,1,2,12,3
11,1,2,46,0,0,1,1,1.2,0,3,0,1,1,2,3
11,1,2,213,0,2,1,1,5.9,0,3,0,1,2,2,3
11,1,2,213,0,1,0,1,4.6923076923076925,0,3,0,1,2,2,3
10,0,1,73,0,2,1,1,0.6,0,3,0,1,2,12,3
12,1,3,58,0,8,1,1,4.666666666666667,0,3,0,1,2,2,3
10,0,1,58,0,10,0,1,0.42857142857142855,0,3,0,1,1,12,3
11,1,2,223,0,4,1,1,4.5,0,3,0,1,2,2,3
11,1,2,38,0,1,1,1,5.142857142857143,1,3,0,1,3,2,3
11,1,2,29,0,8,1,1,3.6666666666666665,0,3,0,1,2,2,3
10,0,1,214,0,1,0,1,4.6923076923076925,0,3,0,1,3,38,3
13,0,5,163,0,0,1,2,0.0,0,3,0,1,5,38,3
11,0,2,164,0,0,0,2,2.333333333333333,0,3,0,1,0,32,0
10,1,1,189,0,10,0,2,1.1428571428571428,0,3,0,1,1,2,3
10,0,1,190,0,0,0,2,2.6666666666666665,0,3,0,1,1,3,3
11,0,2,210,0,2,1,1,1.3846153846153846,0,3,0,1,2,12,3
10,1,1,81,0,1,0,1,4.214285714285714,0,3,0,1,2,2,3
12,1,3,80,0,0,1,1,3.0,0,3,0,1,1,2,3
11,0,2,201,0,2,0,1,1.4615384615384617,0,3,0,1,2,12,3
10,1,1,191,0,4,0,2,2.6,0,3,0,1,2,2,3
12,1,3,78,0,8,1,1,4.230769230769232,0,3,0,1,3,2,3
11,1,2,52,0,8,1,1,0.26666666666666666,0,3,0,1,1,2,3
10,0,1,216,0,1,1,2,1.2857142857142858,0,3,0,1,2,47,3
11,0,2,78,0,2,1,1,4.142857142857143,0,3,0,1,2,12,3
10,0,1,224,0,8,1,1,2.642857142857143,0,3,0,1,2,12,3
11,0,2,70,0,0,1,1,0.3636363636363637,0,3,0,1,5,12,3
11,1,2,81,0,2,1,1,3.1,0,3,0,1,2,2,3
10,1,1,126,0,2,1,2,12.615384615384615,1,3,0,1,5,2,3
10,0,1,224,0,2,1,1,1.5555555555555556,0,3,0,1,1,12,3
10,0,1,111,0,0,0,2,0.7272727272727273,0,3,0,1,1,52,3
12,0,3,224,0,2,1,1,3.2666666666666666,1,3,0,1,3,12,3
