Cidade,ESCOLA_FUNDAMENTAL,Evadiu,N_FILHOS,CURSO,IDADE_INGRESSO,1CONCEITO,ETNIA,SEXO,IDADE,1ANOFALTA,ESTADO_CIVIL,TIPO_ESCOLA_ANTERIOR,CIDADE_ORIGEM,TIPO_CONCOMITANCIA,Forma_Ingresso
2,80,0,3,1,2,2,3,1,5,6.8,0,1,1,0,1
2,79,0,3,0,3,1,3,1,6,2.642857142857143,0,1,1,0,1
2,81,0,3,2,1,2,3,0,4,2.8571428571428568,0,1,1,0,1
2,209,1,3,10,2,1,3,0,5,1.6,0,1,1,0,1
53,124,0,3,3,2,2,3,0,5,1.8666666666666667,0,2,0,0,3
2,81,0,3,2,1,4,3,1,4,3.692307692307693,0,1,1,0,1
2,123,0,3,1,2,2,3,1,5,4.0,0,2,1,0,3
2,180,0,3,5,2,2,3,0,5,4.846153846153847,0,2,1,0,1
26,137,0,3,0,3,2,4,0,6,1.8461538461538465,0,2,0,0,3
2,46,0,3,6,1,2,3,0,4,5.142857142857143,0,1,1,0,1
2,29,0,3,2,2,3,3,0,5,1.8571428571428568,0,1,1,0,1
2,189,1,3,8,1,2,3,0,4,1.8333333333333333,0,2,1,0,3
2,10,1,3,11,2,5,3,1,5,11.142857142857142,0,1,1,0,1
2,88,0,3,1,3,1,3,1,6,0.6153846153846154,0,1,1,0,1
32,188,0,3,6,3,1,3,0,6,2.333333333333333,0,1,0,0,2
31,95,0,3,5,1,1,3,0,4,5.466666666666668,0,1,0,0,1
20,81,0,3,0,2,1,3,1,5,0.7857142857142857,0,1,0,0,1
2,44,0,3,5,2,2,3,0,5,3.733333333333333,0,1,1,0,1
2,159,0,3,0,3,1,3,0,6,1.2307692307692308,0,1,1,0,3
32,221,0,3,7,2,1,3,1,5,2.4,0,1,0,0,1
12,81,0,3,9,1,1,3,0,4,0.5384615384615384,0,1,0,0,1
2,30,0,3,10,0,1,3,1,3,1.5,0,1,1,0,1
2,216,0,3,9,2,2,3,0,5,1.1333333333333333,0,2,1,0,3
12,81,0,3,1,1,2,3,0,4,2.1333333333333333,0,1,0,0,1
2,81,0,3,6,1,2,3,1,4,3.7857142857142856,0,1,1,0,1
2,87,0,3,8,3,2,3,1,6,2.4705882352941178,0,1,1,0,1
2,134,0,3,11,1,3,3,1,4,4.076923076923077,0,2,1,0,3
2,50,0,3,1,2,4,3,1,5,23.57142857142857,0,1,1,0,3
2,12,0,3,3,1,1,3,0,4,1.2666666666666666,0,1,1,0,1
2,46,0,3,8,3,2,3,1,6,4.470588235294118,0,1,1,0,1
2,89,0,3,1,3,4,3,1,6,6.0,0,1,1,0,3
2,44,0,3,10,2,1,3,1,5,1.3333333333333333,0,1,1,0,1
2,81,0,3,0,1,1,3,0,4,0.9285714285714286,0,1,1,0,1
46,46,0,3,2,2,1,3,0,5,1.6666666666666667,0,1,0,0,1
2,29,0,3,5,1,2,3,0,4,3.4,0,1,1,0,1
